,-1 year,,,+1 year,,,+3 years,,,+5 years,,
Latitude,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper
27.1,1.018696146,-1.356099697,3.393491988,-2.615642908,-7.130109816,1.898824,0.750194865,-5.8844857,7.384875431,8.175339392,0.255664409,16.09501438
27.05,1.141256645,-1.401898695,3.684411984,-1.110820156,-5.806032968,3.584392657,1.865435834,-4.992954876,8.723826544,7.658008588,-0.349154312,15.66517149
27,1.9905952,-3.542911191,7.524101592,0.262865576,-5.926780335,6.452511486,-1.6102785,-9.737465015,6.516908016,9.07591024,0.863638597,17.28818188
26.95,0.507029547,-4.362445715,5.376504809,-3.270101175,-9.240320299,2.700117949,-5.11116337,-15.01868153,4.796354792,6.411701221,-4.231758307,17.05516075
26.9,0.631294542,-6.10729659,7.369885673,-2.636694642,-9.981911988,4.708522704,6.820414234,-3.836915809,17.47774428,7.818096762,-2.218952366,17.85514589
26.85,0.54727225,-6.466639492,7.561183993,-2.245734275,-9.75378748,5.26231893,8.73520513,-1.789410858,19.25982112,9.538223161,0.254247265,18.82219906
26.8,-0.456348633,-3.930343984,3.017646718,0.795452342,-4.403597156,5.99450184,18.54545176,11.06725906,26.02364445,26.97371488,17.6442248,36.30320497
26.75,-0.441127773,-3.786184518,2.903928972,-1.34680993,-6.711771239,4.018151379,15.20216094,8.017439158,22.38688273,22.17261021,13.73527245,30.60994797
26.7,-2.56364299,-6.845871447,1.718585468,-1.777303139,-7.097673102,3.543066824,13.43631077,4.606958779,22.26566277,12.74351083,2.540311874,22.94670978
26.65,-3.03205667,-7.092310595,1.028197255,-3.310559997,-8.64585378,2.024733785,10.39610044,1.976823421,18.81537746,12.29439223,3.640655274,20.94812919
26.6,-2.742446318,-8.419221264,2.934328629,-1.458374569,-8.595658837,5.6789097,-0.009418944,-7.722427229,7.70358934,10.03445776,-1.469401694,21.53831721
26.55,-3.816464871,-9.938057263,2.305127522,-2.025116676,-8.946490826,4.896257474,0.072300994,-7.415619531,7.560221519,13.70957572,1.872732011,25.54641943
26.5,4.485085627,-0.211059596,9.181230849,-1.168705629,-6.706726783,4.369315525,4.640128483,-4.627290616,13.90754758,1.120275069,-10.26783242,12.50838256
26.45,2.446459168,-2.134293199,7.027211534,-2.451046379,-7.588217065,2.686124307,2.182242152,-6.829054203,11.19353851,2.398223527,-8.361050224,13.15749728
