"Latitude","Mean","CI_lower","CI_upper"
24.25,-31.0076565154013,-38.2074928072704,-23.8078202235322
24.2,-27.5643053762615,-35.1394445721417,-19.9891661803813
24.15,-22.2044444775416,-27.6114064350775,-16.7974825200057
24.1,-23.9172728412192,-30.2741051273699,-17.5604405550685
24.05,-22.39342476499,-28.117691926878,-16.6691576031019
24,-19.1388609016998,-23.3119802896238,-14.9657415137758
23.95,-21.0393976279231,-26.316685072895,-15.7621101829513
23.9,-19.8988060719931,-26.1851049619196,-13.6125071820667
23.85,-20.1935089423991,-27.9742902834676,-12.4127276013306
23.8,-14.413544369272,-17.2695794662085,-11.5575092723356
23.75,-15.8907594873181,-19.7069844214706,-12.0745345531655
23.7,-18.6157143216629,-24.6807528544865,-12.5506757888392
23.65,-15.9785226504318,-21.0379354418135,-10.9191098590501
23.6,-18.4841818233783,-22.0649598916981,-14.9034037550584
23.55,-21.582121274688,-26.1772085875281,-16.9870339618479
23.5,-18.7526829799985,-21.9549788660866,-15.5503870939105
23.45,-18.8485125084061,-22.3316668506442,-15.365358166168
23.4,-27.3422824292565,-33.8214673474606,-20.8630975110524
23.35,-24.5513979127651,-30.1271029817015,-18.9756928438287
23.3,-22.4572153751609,-27.0753188564704,-17.8391118938513
23.25,-23.7710228592835,-27.8826222084304,-19.6594235101365
23.2,-20.8012789654177,-24.9208380523963,-16.6817198784392
23.15,-21.1751485114345,-24.9031486023724,-17.4471484204967
23.1,-15.9452128205052,-19.0723951567907,-12.8180304842197
23.05,-18.0462222180847,-21.8264484272784,-14.265996008891
23,-20.4760464575402,-24.7816237217104,-16.1704691933699
22.95,-19.0096590830521,-22.5268564169959,-15.4924617491083
22.9,-21.182209422422,-27.546386062674,-14.8180327821699
22.85,-21.6920240003438,-28.0357901079336,-15.348257892754
22.8,-23.667115391447,-28.8765815711563,-18.4576492117377
22.75,-22.902427268531,-27.7616448591821,-18.0432096778799
22.7,-26.0813221852641,-31.6424273824151,-20.5202169881131
22.65,-25.2477599477768,-30.5787996114566,-19.916720284097
22.6,-23.8602938981836,-28.1455298399875,-19.5750579563798
22.55,-26.2021485940546,-30.8887718332812,-21.5155253548279
22.5,-21.427919988513,-25.6621055824828,-17.1937343945432
22.45,-20.2595900999474,-24.3665929515212,-16.1525872483735
22.4,-16.4083035122603,-19.4203371314474,-13.3962698930732
22.35,-16.9464102426273,-20.1334062152434,-13.7594142700113
22.3,-26.6273483952902,-32.703451859615,-20.5512449309655
22.25,-26.8523769491032,-32.836994897103,-20.8677590011033
22.2,-21.6786608971722,-27.3349372622897,-16.0223845320547
22.15,-19.003414751765,-23.0562067263635,-14.9506227771664
22.1,-20.2285715071134,-24.1052334001524,-16.3519096140745
22.05,-21.1808332760767,-25.2549409886488,-17.1067255635045
22,-21.0701298048575,-24.0903645172631,-18.0498950924519
21.95,-20.7062500074114,-24.3526377851203,-17.0598622297024
21.9,-16.7484677607013,-19.9732487016161,-13.5236868197866
21.85,-17.5635251811833,-20.5933123728672,-14.5337379894994
21.8,-21.6702157122304,-26.2962174201017,-17.0442140043591
21.75,-21.474230708755,-26.4846814291752,-16.4637799883348
21.7,-18.0333581749322,-21.942323931778,-14.1243924180864
21.65,-20.6635606121836,-24.9298836690589,-16.3972375553084
21.6,-19.047985122414,-22.1837255847122,-15.9122446601159
21.55,-20.1535772778154,-23.7483041628318,-16.5588503927991
21.5,-17.1859558703487,-19.6266987081625,-14.745213032535
21.45,-18.9033064556819,-21.7810897930909,-16.0255231182729
21.4,-16.526715252195,-19.8982091875489,-13.155221316841
21.35,-18.5534073735829,-21.913987015907,-15.1928277312587
21.3,-18.7966013477348,-22.9552507452082,-14.6379519502614
21.25,-17.7321621896447,-21.5142672883533,-13.9500570909362
21.2,-15.7185594049298,-18.5503487118748,-12.8867700979848
21.15,-15.8013008463431,-18.4712364453521,-13.1313652473341
21.1,-20.786111118538,-25.5320953070745,-16.0401269300016
21.05,-22.1455468168133,-26.8645941490985,-17.426499484528
21,-18.6047967970371,-21.723374574378,-15.4862190196962
20.95,-19.0435593051173,-22.6279656813415,-15.4591529288931
20.9,-17.5824167917172,-20.482327633892,-14.6825059495424
20.85,-19.4329731042858,-22.8483001617054,-16.0176460468661
20.8,-13.4343010767173,-16.1331132995818,-10.7354888538528
20.75,-13.7298936200269,-16.9893499990165,-10.4704372410373
20.7,-15.3497320953757,-18.1683391576208,-12.5311250331305
20.65,-14.6904132295985,-17.2250673220691,-12.1557591371278
20.6,-15.4371429030635,-18.1061691540299,-12.768116652097
20.55,-13.4846969993051,-15.6403686750033,-11.329025323607
20.5,-26.652347711085,-33.5132002537221,-19.7914951684479
20.45,-26.4749151925415,-32.7826103871947,-20.1672199978882
20.4,-15.6434285337017,-19.5030164149914,-11.7838406524119
20.35,-18.3631913357593,-23.8246389151306,-12.9017437563879
20.3,-18.8832773410973,-22.8031495810791,-14.9634051011156
20.25,-18.5990177871925,-22.0794788848656,-15.1185566895195
20.2,-16.4931667409837,-20.1904134553718,-12.7959200265957
20.15,-19.5634058451523,-23.3943168065117,-15.7324948837928
20.1,-24.312132251942,-29.6626132213768,-18.9616512825072
20.05,-24.301707406021,-29.7968258616587,-18.8065889503833
20,-20.8932665419578,-24.9834919089389,-16.8030411749768
19.95,-21.3981818440077,-25.9687277308903,-16.8276359571251
19.9,-17.3102468715774,-19.6763545951712,-14.9441391479835
19.85,-16.9148214200866,-19.2036401165141,-14.6260027236592
19.8,-18.7260645026161,-22.4942215883874,-14.9579074168448
19.75,-18.9637571918547,-22.4529429958943,-15.474571387815
19.7,-26.4619428825804,-30.785838837505,-22.1380469276559
19.65,-26.2991279718834,-30.4372952191116,-22.1609607246553
19.6,-23.6680379949416,-26.9249097718382,-20.4111662180449
19.55,-22.962653051631,-26.2947262494851,-19.6305798537769
19.5,-23.6393651391463,-27.1420897565016,-20.136640521791
19.45,-23.1042927363297,-27.0566305791292,-19.1519548935302
19.4,-18.6999424396875,-21.4074109156852,-15.9924739636897
19.35,-19.1963414933714,-21.971323056076,-16.4213599306669
19.3,-21.2015424028261,-24.1974158708463,-18.205668934806
19.25,-22.0894923885613,-25.0029911328325,-19.1759936442901
19.2,-16.9057309995269,-19.8427024724863,-13.9687595265676
19.15,-17.6453371590443,-20.3652574965967,-14.9254168214919
19.1,-24.4602562909325,-29.3064873829173,-19.6140251989476
19.05,-21.7436144834788,-25.5656143953716,-17.921614571586
19,-23.6094118437785,-27.8330845402449,-19.385739147312
18.95,-22.9364885211218,-27.1916656549256,-18.6813113873181
18.9,-16.7332574587428,-19.7605971631778,-13.7059177543079
18.85,-18.693174572218,-22.1093753627369,-15.2769737816992
18.8,-27.3013816485672,-31.3929820905786,-23.2097812065558
18.75,-24.2335999937852,-27.8580800418252,-20.6091199457453
18.7,-21.1506897317952,-25.3483533224586,-16.9530261411318
18.65,-19.1347826917966,-22.9952066851203,-15.2743586984729
18.6,-18.340364977799,-21.4902120295159,-15.1905179260821
18.55,-19.8003571865814,-23.3188021456344,-16.2819122275284
18.5,-21.6814284613602,-25.564694148316,-17.7981627744045
18.45,-20.3193954450416,-23.5299402951178,-17.1088505949654
18.4,-22.1387500599223,-26.3487008807195,-17.9287992391251
18.35,-20.7812577600023,-25.2279345083372,-16.3345810116674
18.3,-19.5914124918439,-23.1851632195935,-15.9976617640943
18.25,-19.7735928091594,-23.4344284291363,-16.1127571891825
18.2,-18.1191279393577,-21.9164443943274,-14.3218114843881
18.15,-20.3289240996672,-24.5384843896312,-16.1193638097031
18.1,-19.7327549944119,-23.2371183012008,-16.228391687623
18.05,-19.5467379763125,-23.0380941004655,-16.0553818521594
18,-18.1818823695183,-21.2739361631874,-15.0898285758491
17.95,-17.3840588556493,-20.4423761691109,-14.3257415421877
17.9,-17.5697515971542,-20.7786777028365,-14.3608254914719
17.85,-16.4290588316343,-19.5421786240124,-13.3159390392562
17.8,-25.615454685959,-31.0573045047482,-20.1736048671697
17.75,-24.7134286512222,-29.8954968599085,-19.5313604425358
17.7,-19.7364614890172,-23.8114441421577,-15.6614788358767
17.65,-18.011304360153,-21.6788738399862,-14.3437348803198
17.6,-21.0001681160276,-24.0162373351983,-17.9840988968568
17.55,-20.9549180601464,-24.2169295788441,-17.6929065414487
17.5,-21.9734233401649,-26.8019112561766,-17.1449354241532
17.45,-20.0676860425098,-24.2350620241145,-15.9003100609051
17.4,-20.9932498874764,-25.171860936717,-16.8146388382358
