"Latitude","Mean","CI_lower","CI_upper"
24.9,-26.5968085596377,-33.8372760360928,-19.3563410831827
24.85,-26.0791176476096,-32.4555850713531,-19.702650223866
24.8,-18.862456257406,-23.3683243008272,-14.3565882139849
24.75,-22.8473267997845,-28.3242976052259,-17.3703559943432
24.7,-22.441973774841,-27.8822861524602,-17.0016613972217
24.65,-20.7035483820464,-24.8243252130344,-16.5827715510584
24.6,-22.2575229160283,-26.8068272894126,-17.7082185426439
24.55,-19.5693683533096,-23.6633414798965,-15.4753952267227
24.5,-19.8484694864981,-24.5907055627829,-15.1062334102133
24.45,-25.9054387436298,-32.0831121571845,-19.727765330075
24.4,-20.1070965764023,-24.1114306586002,-16.1027624942043
24.35,-30.7648760356194,-37.6464808448003,-23.8832712264384
24.3,-26.9597543565342,-33.172478556572,-20.7470301564965
24.25,-21.628788005222,-26.2460540871901,-17.0115219232538
24.2,-23.0431543664644,-27.7116110920589,-18.3746976408699
24.15,-21.3571709869429,-25.1234679816993,-17.5908739921866
24.1,-22.3882141964776,-26.9800764687597,-17.7963519241955
24.05,-20.8028403340712,-24.6386969751116,-16.9669836930308
24,-17.9070589008674,-21.1716528062122,-14.6424649955226
23.95,-25.1250714749763,-29.3665482162844,-20.8835947336682
23.9,-18.2883333048224,-21.6411473203712,-14.9355192892736
23.85,-17.1667212238077,-20.697846053809,-13.6355963938064
23.8,-14.432517038823,-16.7871823990157,-12.0778516786303
23.75,-19.5338400342464,-24.5177131659109,-14.5499669025819
23.7,-20.1861702889891,-23.6340332508531,-16.7383073271251
23.65,-16.1777631732954,-18.7588672273602,-13.5966591192306
23.6,-15.805031389244,-18.6238542828197,-12.9862084956684
23.55,-16.4261585667548,-19.4351976530117,-13.4171194804978
23.5,-20.370481939257,-23.914948466346,-16.826015412168
23.45,-18.1031055431003,-21.2483476182141,-14.9578634679865
23.4,-16.1459259214569,-19.363072604634,-12.9287792382799
23.35,-21.3697203114446,-25.9418331617352,-16.7976074611541
23.3,-18.6040559750754,-22.5025296844746,-14.7055822656761
23.25,-13.7302899124182,-16.3897246311553,-11.070855193681
23.2,-20.493580326369,-24.7403342837392,-16.2468263689987
23.15,-14.9451204193419,-18.0223811012934,-11.8678597373904
23.1,-21.5423403377017,-26.0179028342619,-17.0667778411416
23.05,-18.6211188223109,-22.8091030633807,-14.433134581241
23,-15.3694512319819,-18.3222899855586,-12.4166124784052
22.95,-13.8169511378198,-16.2441623810904,-11.3897398945491
22.9,-13.72249996416,-16.2199721326117,-11.2250277957084
22.85,-14.3267080679027,-16.5308763977342,-12.1225397380712
22.8,-15.1833720287785,-18.1166547700568,-12.2500892875001
22.75,-13.8951977493063,-16.7538562186432,-11.0365392799693
22.7,-17.5411864999198,-21.0396640869996,-14.0427089128399
22.65,-14.4701578474358,-17.0200902415746,-11.920225453297
22.6,-16.1104210427913,-19.2084857611313,-13.0123563244514
22.55,-14.3565624888482,-17.0868219918455,-11.6263029858509
22.5,-13.9037674319952,-16.1469777833202,-11.6605570806702
22.45,-16.3353847093307,-18.9004858010061,-13.7702836176553
22.4,-14.6486500320397,-17.0316033896519,-12.2656966744276
22.35,-15.345351397669,-17.9826418469214,-12.7080609484166
22.3,-17.1731251584521,-20.7947481043077,-13.5515022125966
22.25,-16.5446327511368,-19.4535065260619,-13.6357589762118
22.2,-19.8218643374341,-23.8844212697993,-15.7593074050689
22.15,-13.3218750339001,-16.0345047145663,-10.609245353234
22.1,-16.1686667151176,-19.0319023004948,-13.3054311297404
22.05,-14.0165979326655,-16.3257731946483,-11.7074226706827
22,-13.5035643508603,-15.9249407675778,-11.0821879341427
21.95,-14.7582586908074,-17.2908040407764,-12.2257133408383
21.9,-13.5159793417882,-16.1706022958184,-10.8613563877579
21.85,-18.2578260909118,-21.9585368452501,-14.5571153365735
21.8,-14.8746243346633,-18.3920790599773,-11.3571696093493
21.75,-14.1387999574095,-16.6207025324963,-11.6568973823227
21.7,-15.0194253185443,-18.2241042909638,-11.8147463461248
21.65,-17.3387500001894,-20.6358703564222,-14.0416296439566
