,-1 year,,,+1 year,,,+3 years,,,+5 years,,
Latitude,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper
27.05,-6.301592236,-9.897018119,-2.706166353,-10.21784803,-14.41582871,-6.019867356,-15.78887154,-24.78238142,-6.795361665,-11.18761893,-20.32169206,-2.053545788
27,-3.557172099,-7.921660174,0.807315977,-10.65532847,-15.60890834,-5.701748601,-7.935246072,-17.93014537,2.059653227,0.55575756,-7.848068697,8.959583818
26.95,-1.989051408,-4.466496725,0.48839391,-6.841746054,-11.41373972,-2.269752385,-8.231125429,-17.04704863,0.584797769,-9.159028871,-18.47667697,0.158619223
26.9,-7.547044612,-12.96358398,-2.130505244,-10.36804343,-15.97896064,-4.757126227,-5.392953981,-12.79424632,2.008338361,-3.613273803,-13.53159531,6.305047703
26.85,-3.294123037,-6.52894994,-0.059296135,-5.664779441,-10.41092352,-0.918635365,-4.003188101,-9.488817689,1.482441487,-4.691024468,-11.7004926,2.318443661
26.8,-5.188328957,-9.74385622,-0.632801694,-7.702890631,-12.08170921,-3.324072052,-8.871764011,-15.35576756,-2.387760458,-11.80374292,-18.79167664,-4.8158092
26.75,-0.801018707,-2.541877936,0.939840521,-1.016076916,-3.404007325,1.371853493,-7.447504349,-14.80808867,-0.08692003,-8.642844115,-16.5536153,-0.732072935
26.7,-3.931331051,-8.241093472,0.37843137,-5.808471369,-9.886409273,-1.730533464,-6.440246776,-12.55136855,-0.329125005,-6.879455151,-13.48075613,-0.278154175
26.65,-5.469099004,-8.801344088,-2.136853921,-8.175153317,-12.09798676,-4.252319873,-4.750810672,-10.56817527,1.066553924,-6.24707192,-14.84343411,2.349290271
26.6,-9.149466026,-14.82095906,-3.477972993,-11.31672612,-16.24289894,-6.390553304,-17.8281648,-26.42342082,-9.232908784,-15.80360855,-24.35335,-7.253867103
26.55,-11.56753796,-17.65125603,-5.48381989,-10.53123291,-15.47796407,-5.58450176,-19.06069944,-28.56348337,-9.557915514,-11.90404309,-22.11594884,-1.692137345
26.5,-3.109521881,-7.848798999,1.629755237,-4.958499925,-8.952945728,-0.964054123,-6.353736974,-13.46267362,0.755199676,-7.89154154,-16.14719728,0.364114199
26.45,-8.807603422,-14.44871277,-3.166494071,-11.73673075,-16.61892761,-6.854533898,-15.42384518,-23.4807647,-7.366925663,-13.56451268,-21.65269716,-5.476328201
26.4,-5.059220197,-8.12684024,-1.991600155,-7.612243551,-11.41133603,-3.813151069,-9.980361948,-15.58773091,-4.372992983,-13.37964041,-20.2138045,-6.545476327
26.35,-6.736391915,-10.5861391,-2.886644728,-11.43522472,-15.57228551,-7.298163938,-12.89901123,-19.35625517,-6.441767302,-9.450741479,-16.62127346,-2.280209498
26.3,-4.059114582,-7.498370065,-0.6198591,-12.31290111,-17.05722897,-7.568573241,-18.60474637,-26.9543206,-10.25517213,-21.59514844,-30.95142189,-12.238875
26.25,-8.784563698,-12.87085748,-4.69826992,-15.29428578,-21.12489019,-9.463681365,-16.77935093,-25.46286302,-8.095838838,-14.8432174,-25.88706798,-3.799366823
26.2,-11.3023336,-16.39882871,-6.205838486,-17.12120479,-23.11799857,-11.12441102,-15.8278425,-23.3816731,-8.274011897,-9.35536314,-17.98744646,-0.723279822
26.15,-11.50040913,-16.44684074,-6.553977527,-16.40935245,-22.56011232,-10.25859258,-18.3739534,-27.31899633,-9.428910465,-15.44555546,-24.88448139,-6.006629522
26.1,-7.481569291,-13.1961003,-1.767038281,-16.97048762,-22.68401648,-11.25695875,-22.20514558,-31.55984988,-12.85044129,-20.65049736,-30.42022412,-10.8807706
