,-1 year,,,+1 year,,,+3 years,,,+5 years,,
Latitude,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper
26.05,-5.258192148,-12.67290924,2.156524941,-11.52525805,-20.12974491,-2.920771179,-3.063116926,-14.05877434,7.932540493,1.962840741,-10.33033964,14.25602112
26,0.634866914,-4.216191489,5.485925316,-3.847613067,-9.99661098,2.301384847,-6.871824039,-16.9918182,3.248170122,-5.332121303,-17.11977832,6.455535716
25.95,-0.370349063,-5.441676842,4.700978716,-0.106243442,-9.382940824,9.17045394,-2.202751662,-13.38587033,8.980367002,3.095806386,-8.552495945,14.74410872
25.9,-1.769185807,-8.088073879,4.549702265,-0.166340159,-8.014108073,7.681427756,4.667240222,-5.814142651,15.1486231,-1.695689684,-16.19087937,12.79950001
25.85,-1.069850605,-5.588559671,3.448858461,-9.384215186,-16.63957482,-2.128855556,-4.917928659,-14.72344429,4.887586967,-10.5595645,-21.66497912,0.545850129
25.8,1.263377903,-5.095174986,7.621930793,-5.197097752,-13.68226211,3.288066606,1.038504348,-9.594366403,11.6713751,8.89062915,-2.926079586,20.70733789
25.75,-1.595908244,-5.876175145,2.684358658,-12.6142259,-20.77162342,-4.456828388,-16.0952377,-27.56254722,-4.627928171,-3.532429985,-17.17701395,10.11215398
25.7,-5.722312567,-11.984112,0.539486867,-5.728924456,-13.79975555,2.341906637,-9.266523524,-21.05451768,2.521470635,-7.601930936,-20.71283067,5.508968795
25.65,-1.315511855,-6.735725676,4.104701967,-8.562025839,-17.43727005,0.313218378,-13.6220623,-25.99247621,-1.251648391,-14.88487969,-28.54907947,-1.2206799
25.6,2.221869608,-3.380979177,7.824718393,-6.184487305,-14.14879131,1.779816697,-9.502026244,-18.86670677,-0.137345722,-10.2119711,-21.75852819,1.334585983
25.55,1.664530648,-3.439365202,6.768426499,-5.222568314,-13.4503653,3.005228672,-7.470721892,-18.07930459,3.137860808,-8.50919822,-21.04514066,4.026744223
25.5,-2.327853978,-7.359275741,2.703567784,-2.858987675,-10.89343486,5.175459507,-7.026271975,-16.84764802,2.795104073,-5.248404447,-16.39733244,5.900523547
25.45,-0.856327453,-5.764683625,4.052028719,-6.489891518,-13.30123498,0.321451945,0.678722145,-10.05272821,11.4101725,2.835733875,-8.168896899,13.84036465
25.4,-1.030009041,-6.427723486,4.367705403,-6.115861938,-14.45131298,2.219589108,-5.890691004,-15.17085961,3.3894776,0.096833402,-10.77313611,10.96680291
25.35,-1.804029742,-6.151278158,2.543218674,-6.796895861,-13.9582006,0.364408881,1.123061601,-8.423676456,10.66979966,3.222081221,-10.06070414,16.50486659
25.3,-1.526867923,-8.133955921,5.080220074,-1.616786204,-10.82220192,7.588629513,2.384576168,-8.89982158,13.66897392,6.905174914,-5.873472739,19.68382257
25.25,3.482201724,-2.679547441,9.64395089,-2.647362576,-12.05983116,6.765106003,-2.233281605,-14.14061069,9.674047484,7.87435152,-5.056256193,20.80495923
25.2,1.880571396,-4.639803735,8.400946526,1.931130271,-7.012823881,10.87508442,8.973989391,-1.105780481,19.05375926,4.927492776,-6.753271584,16.60825714
